,objectId,jd,fid,pid,diffmaglim,programid,candid,isdiffpos,tblid,nid,rcid,field,xpos,ypos,ra,decl,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,ssdistnr,ssmagnr,ssnamenr,sumrat,magapbig,sigmagapbig,ranr,decnr,sgmag1,srmag1,simag1,szmag1,sgscore1,distpsnr1,ndethist,ncovhist,jdstarthist,jdendhist,scorr,tooflag,objectidps1,objectidps2,sgmag2,srmag2,simag2,szmag2,sgscore2,distpsnr2,objectidps3,sgmag3,srmag3,simag3,szmag3,sgscore3,distpsnr3,nmtchps,rfid,jdstartref,jdendref,nframesref,rbversion,dsnrms,ssnrms,dsdiff,magzpsci,magzpsciunc,magzpscirms,nmatches,clrcoeff,clrcounc,zpclrcov,zpmed,clrmed,clrrms,neargaia,neargaiabright,maggaia,maggaiabright,exptime,obsdate,mjd,magcorrZTF,magOO,phaseangle,heliodist,geodist,velocity,magcorrOO
293751,ZTF18abvfsmg,2458372.9671528,1,618467154115,20.9023,1,618467154115015080,t,80,618,41,702,1508.93,2714.76,69.805144,41.5782931,18.8193,0.0802349,4.35889,18.8391,0.0611,8.432160000000001,18.81,0.023,0.643,-0.045,-0.0763814,0.019769,2.12,0.983,365.74199999999996,2.0632099999999998,1.17828,0.737,0.715,0.347641,0.337264,1.03077,1,0,0.74,0.0,19.0,86257,1.0,18.7809,0.0738,69.8050796,41.5806659,-999.0,-999.0,21.6146,21.5001,0.115914,6.14971,1,90,2458372.9671528,2458372.9671528,35.545738220214794,0,157890698058572691,157890698050417470,18.7728,17.7482,17.2676,17.0225,0.99875,8.54495,157890698097083022,-999.0,18.5724,17.9976,17.8206,0.828458,13.6255,12,702120141,2458168.650498,2458352.893762,15,t8_f5_c3,34.354,54.1722,-19.8182,26.3363,3.0071e-06,0.020458,2089.0,-0.048193,5.3563e-06,-3.9e-06,26.302,0.705,0.175999,8.53881,79.9243,17.585,12.3281,,2018-09-11T11:12:42.002,58372.466724559206,-0.18070000000000164,19.349471724757304,29.482606120642362,2.038837017079277,1.6930078042800156,0.27785911634629745,-0.5301717247573059
308570,ZTF18abvlkzr,2458373.9347106004,1,619434714115,20.7285,1,619434714115015040,t,40,619,41,702,578.599,2369.57,70.1509131,41.6732638,19.8601,0.175973,2.30979,19.9889,0.1791,7.476039999999999,20.275,0.04,0.782,-0.052000000000000005,-0.189685,0.128822,2.5,0.941,578.599,0.739585,1.1175700000000002,0.779,0.741,0.3116,0.2964,1.05128,2,0,0.68,0.0,19.0,86257,0.999616,19.9441,0.2201,70.1513392,41.6753475,20.1238,19.1889,18.7027,18.4394,0.997917,7.504410000000001,1,91,2458373.9347106004,2458373.9347106004,13.2529144287109,0,158010701513081105,158000701494665515,20.0317,19.1103,18.6674,18.4212,0.95225,9.89737,158000701522564679,-999.0,21.2355,20.576999999999998,20.2092,0.912333,12.4492,14,702120141,2458168.650498,2458352.893762,15,t8_f5_c3,9.322560000000001,16.9635,-7.64093,26.3221,3.0657e-06,0.021304,2084.0,-0.05645599999999999,5.4523e-06,-3.97e-06,26.281999999999996,0.705,0.17661400000000002,7.50294,-999.0,19.0321,-999.0,,2018-09-12T10:25:58.996,58373.434282359674,0.8600999999999992,19.333964494283503,29.454292362630323,2.0381937467222095,1.6821226888136378,0.2742072283513238,0.5261355057164963
347024,ZTF18abwbpwb,2458375.9746644,1,621474664015,21.0722,1,621474664015015036,t,36,621,40,702,1761.71,1708.08,70.8611874,41.8697875,19.9096,0.139974,1.28362,19.9594,0.1501,6.32423,21.671,0.09300000000000001,0.512,-0.071,0.642858,0.049782,1.87,0.993,1310.79,1.11283,1.26925,0.711,0.618,0.380214,0.33048099999999997,1.15049,3,0,0.633333,0.0,18.9,86257,0.9945879999999999,19.9618,0.1918,70.8600281,41.8682324,21.656999999999996,20.494,19.8594,19.5714,0.9404170000000001,6.44815,1,93,2458375.9746644,2458375.9746644,15.652076721191401,0,158240708600122541,158240708641303122,-999.0,21.719,20.3405,19.642,0.8556040000000001,8.412989999999999,158240708642941794,20.0816,19.3171,18.9334,18.7452,0.959625,11.612,16,702120140,2458168.650498,2458351.967431,15,t8_f5_c3,17.9997,25.9827,-7.983039999999999,26.3706,2.2872e-06,0.022303,2143.0,-0.071729,4.1188e-06,-2.97e-06,26.320999999999998,0.6990000000000001,0.188686,6.44883,22.2841,20.4056,13.502,,2018-09-14T11:23:31.004,58375.47423615912,1.0096000000000025,19.300562116466516,29.380554219629374,2.036823427621335,1.6591826533442555,0.26256254259005524,0.6090378835334853
365610,ZTF18abwkmcw,2458376.9678935003,1,622467894015,20.9297,1,622467894015015013,t,13,622,40,702,869.539,1385.7,71.1983578,41.9634251,18.8437,0.0890682,8.40047,18.8179,0.0584,6.93847,20.208,0.04,0.943,0.098,0.38769899999999996,-0.025800999999999998,2.31,0.9990000000000001,869.539,2.1118,1.09226,0.8009999999999999,0.7490000000000001,0.34675300000000003,0.32424200000000003,1.0694299999999999,0,0,0.81,0.0,18.9,86257,1.0,18.8565,0.0762,71.1958025,41.9638727,20.2205,19.9574,19.9349,19.9668,0.993607,7.06999,1,94,2458376.9678935003,2458376.9678935003,33.973274230956996,0,158350711956987175,158350711994418992,20.8404,19.7533,19.1933,18.9362,0.981667,7.30704,158350712027025631,20.1945,19.5771,-999.0,-999.0,0.5,11.9215,18,702120140,2458168.650498,2458351.967431,15,t8_f5_c3,29.7286,53.6644,-23.9358,26.3667,1.7749000000000002e-06,0.02028,2152.0,-0.068762,3.1986e-06,-2.31e-06,26.319000000000003,0.6990000000000001,0.188204,7.05962,30.525,20.0599,13.0546,,2018-09-15T11:13:45.998,58376.46746525961,-0.05630000000000024,19.283971642139278,29.338072853301153,2.036149361047552,1.6480285944173898,0.2576149674631836,-0.4402716421392796
417251,ZTF18abxbhwg,2458378.9893056,1,624489303715,20.823,1,624489303715015016,t,16,624,37,702,2609.59,726.422,71.8653979,42.1502219,18.7722,0.10092000000000001,7.66069,18.8609,0.0648,3.63605,22.773000000000003,0.32299999999999995,0.509,-0.36700000000000005,0.378888,0.08870800000000001,2.39,0.9990000000000001,462.915,1.96215,1.09275,0.778,0.748,0.325523,0.312971,1.04011,3,0,0.736667,0.0,18.9,86257,0.9893280000000001,18.8061,0.0781,71.86635809999999,42.1494881,20.0405,19.1448,18.6218,18.3531,0.982,3.99833,1,96,2458378.9893056,2458378.9893056,33.239147186279304,0,158580718640940193,158580718635012839,21.9538,22.0457,-999.0,-999.0,0.5,7.68987,158580718625912117,19.0108,17.6803,16.814,16.3603,1.0,8.18213,25,702120137,2458168.650498,2458349.944178,15,t8_f5_c3,24.8429,49.9973,-25.1544,26.2752,1.6985e-06,0.020521,2013.0,-0.073877,3.1454000000000004e-06,-2.23e-06,26.225,0.674,0.18899999999999997,4.00451,-999.0,18.9924,-999.0,,2018-09-17T11:44:36.004,58378.48887735933,-0.12779999999999703,19.2495141640559,29.23734255636906,2.0347636993521196,1.6253609806131033,0.24627153814133199,-0.47731416405589755
435731,ZTF18abxikqk,2458379.9734722,1,625473473715,20.8746,1,625473473715015017,t,17,625,37,702,1777.67,403.381,72.1809361,42.2392144,19.7048,0.15851300000000001,2.0437,19.8713,0.1556,2.01987,20.275,0.053,1.1640000000000001,-0.154,0.627747,0.166459,2.37,0.978,403.381,1.0033299999999998,1.08241,0.7559999999999999,0.6759999999999999,0.31898699999999997,0.28523200000000004,1.11834,6,0,0.58,0.0,18.9,86257,0.9825719999999999,20.0678,0.2378,72.1810283,42.2397773,20.2861,19.2434,18.7132,18.4266,0.960149,1.80778,1,97,2458379.9734722,2458379.9734722,16.1180801391602,0,158680721809648332,158680721790787792,-999.0,-999.0,21.5206,20.8447,0.651101,5.0225599999999995,158680721809749790,21.5432,20.4372,19.7019,19.2808,0.918042,6.11331,21,702120137,2458168.650498,2458349.944178,15,t8_f5_c3,13.8661,23.7129,-9.84685,26.2698,1.5449e-06,0.019379,2005.0,-0.070409,2.8757e-06,-2.04e-06,26.221999999999998,0.674,0.18714,1.8085799999999999,34.4197,19.1213,11.7903,,2018-09-18T11:21:47.998,58379.47304395912,0.8048000000000002,19.232411047046153,29.18151187668521,2.034082397729126,1.6143466215935247,0.24132849342332893,0.4723889529538461
500406,ZTF18abyjyeg,2458383.9880903,1,629488095515,20.9082,1,629488095515015047,t,47,629,55,702,1727.88,2745.29,73.3994279,42.5893335,19.3584,0.11461099999999999,1.16331,19.3013,0.0914,9.33038,15.993,0.019,0.9279999999999999,-0.061,0.41712,-0.057057000000000004,2.51,0.958,335.207,1.6069200000000001,1.02693,0.8859999999999999,0.865,0.352988,0.344622,1.0242799999999999,2,0,0.703333,0.0,18.8,86257,1.0,19.0429,0.0996,73.3976925,42.5916266,15.9906,15.3099,14.9503,14.7777,0.992083,9.32736,1,103,2458383.9880903,2458383.9880903,20.8539199829102,0,159110733976750544,159100734031836515,-999.0,20.1676,19.6023,19.2699,0.223509,10.7162,159100734025934795,14.329,13.8559,13.695,13.5536,0.979583,12.4158,18,702120155,2458168.650498,2458349.944178,15,t8_f5_c3,20.1501,33.0034,-12.8533,26.2844,1.6986000000000001e-06,0.016911000000000002,1975.0,-0.036614,4.0505000000000004e-06,-2.53e-06,26.261999999999997,0.5920000000000001,0.174985,9.328560000000001,12.4091,15.1703,13.7602,30.0,2018-09-22T11:42:51.002,58383.487662059255,0.5583999999999989,19.16032568090404,28.9039186165765,2.031258487650153,1.5695908858552525,0.2180743775003145,0.19807431909595863
507229,ZTF18abysnom,2458384.9926852,1,630492685515,20.4742,1,630492685515015066,t,66,630,55,702,993.4630000000001,2432.24,73.68643809999998,42.6736701,18.8139,0.124965,5.13354,18.7749,0.0874,12.1787,19.74,0.04,1.188,-0.079,0.784987,-0.038967,1.97,0.983,648.26,1.69927,1.20617,0.7240000000000001,0.6509999999999999,0.36751300000000003,0.330457,1.11214,4,0,0.71,0.0,18.8,86257,0.99382,18.8756,0.1221,73.6868983,42.6770756,19.689,18.9383,18.5062,18.2732,0.99875,12.1965,1,104,2458384.9926852,2458384.9926852,19.5499057769775,0,159210736868863116,159210736921690432,-999.0,21.5251,-999.0,-999.0,0.5,16.3118,159200736915975463,-999.0,21.4971,20.3364,19.7608,0.835139,17.3827,15,702120155,2458168.650498,2458349.944178,15,t8_f5_c3,14.437999999999999,31.7695,-17.3315,26.2859,1.5755000000000002e-06,0.017037,1974.0,-0.045415,3.7585e-06,-2.34e-06,26.259,0.5920000000000001,0.174959,12.1987,49.0993,18.7929,13.3861,30.0,2018-09-23T11:49:28.001,58384.492256959435,0.01389999999999958,19.141703349911044,28.82161306478312,2.030540709231044,1.5584448815558836,0.21199178773861627,-0.32780334991104354
533934,ZTF18abzowuh,2458387.9692245,2,633469225015,19.254,1,633469225015015002,t,2,633,50,702,2377.3,1500.91,74.4921796,42.9157605,18.3081,0.09808910000000001,1.6857400000000002,18.2376,0.155,9.66043,22.313000000000002,0.35600000000000004,1.6030000000000002,-0.46299999999999997,2.92374,-0.070494,2.01,0.983,695.204,1.01635,1.2250299999999998,0.6990000000000001,0.579,0.347761,0.28806,1.20725,5,0,0.716667,0.0,18.7,86257,1.0,18.1546,0.1843,74.4887085,42.9167183,-999.0,-999.0,21.7697,20.851999999999997,0.245125,9.973930000000001,1,115,2458387.9692245,2458387.9692245,16.6079444885254,0,159500744886830760,159490744881028862,-999.0,21.3922,20.6778,20.4029,0.824042,10.7323,159500744928134242,19.3158,18.4016,17.9678,17.7571,0.94575,14.1561,20,702120250,2458160.724236,2458374.987431,15,t8_f5_c3,15.2234,23.3884,-8.16506,26.0451,1.8069999999999998e-06,0.019312,2018.0,0.072027,4.36e-06,-2.72e-06,26.089000000000002,0.605,0.163293,14.4447,78.3084,18.9804,12.5071,30.0,2018-09-26T11:15:40.997,58387.468796259265,-0.3918999999999997,18.63779594834631,28.546378303934734,2.0283881316466292,1.5255744129673103,0.19424835388779588,-0.3296959483463091
534940,ZTF18abzpgqg,2458388.0124653,1,633512465015,19.5019,1,633512465015015005,t,5,633,50,702,2362.66,1496.0,74.50289690000002,42.9191717,19.1552,0.195731,1.1422,18.9148,0.1858,7.217110000000001,17.237000000000002,0.019,0.799,-0.040999999999999995,-0.508274,-0.24036300000000002,2.98,0.978,709.8439999999999,0.587067,1.02732,0.82,0.7559999999999999,0.27516799999999997,0.253691,1.08466,5,0,0.623333,0.0,18.7,86257,0.9350719999999999,19.3635,0.3609,74.5036923,42.92111679999999,17.2389,16.6436,16.33,16.1856,0.999167,7.179539999999999,1,116,2458388.0124653,2458388.0124653,10.137014389038098,0,159500745036615944,159500745059843374,-999.0,21.5919,20.7146,20.2407,0.740107,8.44595,159500745004446403,20.1995,19.2857,18.8417,18.6012,0.96975,10.3949,18,702120150,2458167.605787,2458350.976458,15,t8_f5_c3,6.25892,11.5273,-5.268330000000001,26.3662,7.6493e-06,0.033497000000000006,2014.0,-0.060561000000000004,1.8383399999999997e-05,-1.146e-05,26.33,0.604,0.166053,10.3925,59.2017,19.2077,10.8657,30.0,2018-09-26T12:17:57.002,58387.5120370593,0.4552000000000014,19.084293787341377,28.54167796053418,2.0283565776462735,1.5250976314113371,0.19299606975919756,0.07090621265862396
