,objectId,jd,fid,pid,diffmaglim,programid,candid,isdiffpos,tblid,nid,rcid,field,xpos,ypos,ra,decl,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,ssdistnr,ssmagnr,ssnamenr,sumrat,magapbig,sigmagapbig,ranr,decnr,sgmag1,srmag1,simag1,szmag1,sgscore1,distpsnr1,ndethist,ncovhist,jdstarthist,jdendhist,scorr,tooflag,objectidps1,objectidps2,sgmag2,srmag2,simag2,szmag2,sgscore2,distpsnr2,objectidps3,sgmag3,srmag3,simag3,szmag3,sgscore3,distpsnr3,nmtchps,rfid,jdstartref,jdendref,nframesref,rbversion,dsnrms,ssnrms,dsdiff,magzpsci,magzpsciunc,magzpscirms,nmatches,clrcoeff,clrcounc,zpclrcov,zpmed,clrmed,clrrms,neargaia,neargaiabright,maggaia,maggaiabright,obsdate,magcorr
1,ZTF18abcdzgl,2458288.7079282003,1,534207925015,20.7395,2,534207925015015006,t,6,534,50,759,2328.3,728.312,227.6222222,50.4104062,19.8903,0.179366,1.73181,19.9277,0.1893,9.31419,22.806,0.33,1.034,-0.518,0.107528,0.037375,2.49,0.992,728.312,0.811767,0.989907,0.716,0.669,0.28755,0.268675,1.07025,4,0,0.446667,2.0,19.8,2001SC170,1.0,19.9887,0.256,227.6232206,50.4129463,-999.0,17.8239,-999.0,-999.0,0.5,8.99137,1,425,2458288.7079282003,2458288.7079282003,14.1067848205566,0,168492276206456172,168492276151771534,21.51,20.2922,19.2357,18.7669,0.995167,16.8474,168492276279266854,15.3195,14.8904,14.7491,14.7185,0.9705,17.0703,5,759120150,2458166.991794,2458204.938345,17,,,,,,,,,,,,,,,,,,,2018-06-19T04:59:24.997,0.09029999999999916
4,ZTF18abcebis,2458288.7265741,1,534226575015,20.7241,2,534226575015015004,t,4,534,50,759,2300.64,681.956,227.6363043,50.4231179,19.7367,0.1452,1.83773,19.5614,0.1353,13.0418,22.71,0.252,0.687,-0.142,0.26677,-0.175311,3.49,0.969,681.956,1.16274,0.718639,0.932,0.892,0.267049,0.255587,1.04484,3,0,0.456667,2.0,19.8,2001SC170,0.984032,19.6076,0.1802,227.6399678,50.4202855,-999.0,-999.0,20.8523,20.124,0.742298,16.0804,1,426,2458288.7265741,2458288.7265741,16.261835098266598,0,168512276298570412,168512276320564165,21.9911,21.4488,21.2661,20.9679,0.00208333,19.6545,168502276466046077,18.3062,18.3741,18.4315,18.3508,1.0,24.6078,3,759120150,2458166.991794,2458204.938345,17,,,,,,,,,,,,,,,,,,,2018-06-19T05:26:16.002,-0.06330000000000169
7,ZTF18abceeaf,2458288.7390278,2,534239025015,20.5362,2,534239025015015012,t,12,534,50,759,2284.82,658.111,227.6455586,50.4316414,19.3245,0.093253,1.07291,19.276,0.1228,8.88215,22.962,0.329,0.741,-0.124,-0.153024,-0.048544,2.37,0.982,658.111,1.26019,1.06777,0.757,0.684,0.319409,0.288608,1.10673,4,0,0.663333,2.0,19.8,2001SC170,0.991057,19.2146,0.1481,227.6459551,50.4291546,-999.0,-999.0,-999.0,17.4433,0.0107917,22.6503,1,428,2458288.7390278,2458288.7390278,21.2791633605957,0,168522276493505447,168512276569407392,22.1036,21.8023,21.632,21.0621,0.5,26.1405,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2,759120250,2458155.054757,2458199.8361110003,20,,,,,,,,,,,,,,,,,,,2018-06-19T05:44:12.002,-0.47550000000000026
11,ZTF18abcemyw,2458288.7662269,2,534266225015,20.6003,2,534266225015015007,t,7,534,50,759,2243.76,585.306,227.6660661,50.45004539999999,19.3295,0.117294,2.22961,19.3742,0.1313,7.64473,22.754,0.296,0.912,-0.318,0.273104,0.044741,2.07,0.983,585.306,1.22607,1.17832,0.674,0.602,0.325604,0.290821,1.1196,3,0,0.626667,2.0,19.8,2001SC170,0.985156,19.3668,0.1666,227.6666989,50.4479309,17.9339,17.3466,17.0868,16.9792,0.99875,11.3452,1,430,2458288.7662269,2458288.7662269,21.699647903442397,0,168532276705689158,168532276704038548,20.9229,-999.0,21.6694,-999.0,0.5,11.9012,168542276721651547,-999.0,-999.0,21.7277,20.9811,0.0,13.737,7,759120250,2458155.054757,2458199.8361110003,20,,,,,,,,,,,,,,,,,,,2018-06-19T06:23:22.004,-0.47050000000000125
59,ZTF18abcghht,2458288.8578588,1,534357855015,20.6102,2,534357855015015002,t,2,534,50,759,2100.34,331.261,227.73672830000004,50.5105549,19.8165,0.151752,1.39827,19.868,0.1718,3.68929,22.893,0.361,0.972,-0.553,-0.107284,0.051501,3.3,0.743,331.261,0.742152,0.87957,0.945,0.85,0.286364,0.257576,1.11176,3,0,0.433333,2.0,19.8,2001SC170,0.958629,19.8367,0.2134,227.7364883,50.5115766,-999.0,-999.0,21.4201,21.1419,0.846179,11.2881,1,432,2458288.8578588,2458288.8578588,15.2509155273438,0,168612277414982260,168602277322588741,22.0195,21.0058,19.659,19.0334,0.968542,17.236,168602277355276770,-999.0,-999.0,21.6125,21.0777,0.935875,19.7015,4,759120150,2458166.991794,2458204.938345,17,,,,,,,,,,,,,,,,,,,2018-06-19T08:35:19.000,0.016500000000000625
95,ZTF18abcebsl,2458288.7274884,1,534227485015,20.7698,1,534227485015015008,t,8,534,50,759,2299.53,679.665,227.6369107,50.4237973,19.881,0.154394,2.29634,19.6794,0.1487,14.2708,22.71,0.252,0.687,-0.142,0.28592,-0.201589,2.42,0.998,679.665,1.09036,1.00576,0.802,0.704,0.331405,0.290909,1.1392,4,0,0.43,2.0,19.8,2001SC170,0.948995,19.6316,0.1818,227.63996780000002,50.4202855,-999.0,-999.0,20.8523,20.124,0.742298,16.7442,1,427,2458288.7274884,2458288.7274884,14.810802459716802,0,168512276298570412,168512276320564165,21.9911,21.4488,21.2661,20.9679,0.00208333,18.4075,168502276466046077,18.3062,18.3741,18.4315,18.3508,1.0,24.1377,3,759120150,2458166.991794,2458204.938345,17,,,,,,,,,,,,,,,,,,,2018-06-19T05:27:34.998,0.08099999999999952
127,ZTF18abcemam,2458288.7629167004,2,534262915015,20.6251,1,534262915015015006,t,6,534,50,759,2248.3,594.18,227.6636029,50.4478176,19.1602,0.0845248,2.67109,19.335,0.1252,7.02538,22.754,0.296,0.912,-0.318,0.404834,0.174769,2.13,0.982,594.18,1.29012,1.13658,0.681,0.647,0.319718,0.303756,1.05255,4,0,0.69,2.0,19.8,2001SC170,0.96515,19.3349,0.1596,227.6666989,50.4479309,20.9229,-999.0,21.6694,-999.0,0.5,15.6597,1,429,2458288.7629167004,2458288.7629167004,22.441589355468803,0,168532276704038548,168532276705689158,17.9339,17.3466,17.0868,16.9792,0.99875,16.2673,168542276721651547,-999.0,-999.0,21.7277,20.9811,0.0,21.8592,5,759120250,2458155.054757,2458199.8361110003,20,,,,,,,,,,,,,,,,,,,2018-06-19T06:18:36.003,-0.639800000000001
183,ZTF18abcibxm,2458289.6873958,1,535187396115,20.4272,2,535187396115015004,t,4,535,61,760,2585.88,976.886,228.4684734,51.0799224,19.7386,0.177947,1.68348,19.8778,0.2415,6.41627,22.637,0.334,1.2,-0.414,0.148425,0.139206,1.98,0.973,486.623,0.549408,1.2397,0.683,0.573,0.344949,0.289394,1.19197,5,0,0.44,2.0,19.8,2001SC170,0.905989,19.7753,0.2815,228.4705128,51.0786521,-999.0,21.8943,21.4958,-999.0,0.197708,22.6128,1,819,2458289.6873958,2458289.6873958,14.117108345031701,0,169292284743510398,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,760120161,2458166.989815,2458206.003542,17,,,,,,,,,,,,,,,,,,,2018-06-20T04:29:50.997,-0.06139999999999901
185,ZTF18abcidnm,2458289.6996759,1,535199676115,20.2138,2,535199676115015010,t,10,535,61,760,2562.66,943.2,228.4782938,51.0883451,19.8372,0.210564,1.03481,19.5955,0.1918,12.6314,22.713,0.281,0.734,-0.084,-0.026067,-0.241694,3.13,0.908,509.844,0.618301,0.925951,1.009,0.893,0.322364,0.285304,1.1299,4,0,0.39,2.0,19.8,2001SC170,0.995111,19.6704,0.2631,228.4739213,51.0860956,20.0962,19.8681,19.9188,-999.0,0.5,6.02724,1,820,2458289.6996759,2458289.6996759,10.9427947998047,0,169302284759496035,169302284726127387,20.0158,19.6996,19.5955,19.6035,0.99725,13.1083,169312284797131181,-999.0,21.8506,21.327,21.0714,0.004375,13.5029,3,760120161,2458166.989815,2458206.003542,17,,,,,,,,,,,,,,,,,,,2018-06-20T04:47:31.998,0.03719999999999857
196,ZTF18abcihao,2458289.7375116,2,535237516115,20.2479,2,535237516115015002,t,2,535,61,760,2493.51,860.955,228.5083827,51.1140635,19.2712,0.136232,1.64525,19.0434,0.1302,4.49976,22.803,0.335,0.722,-0.228,-0.216855,-0.227805,2.83,0.966,578.987,1.20448,0.883563,0.91,0.698,0.321555,0.246643,1.30372,2,0,0.44,2.0,19.8,2001SC170,0.951267,18.9345,0.1507,228.5066557,51.1134117,21.2833,20.9394,20.5796,20.5208,0.00458333,17.2126,1,821,2458289.7375116,2458289.7375116,16.4725131988525,0,169332285063462026,169332285009403806,-999.0,-999.0,21.6469,-999.0,0.11175,20.1655,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2,760120261,2458155.055255,2458198.981979,15,,,,,,,,,,,,,,,,,,,2018-06-20T05:42:01.002,-0.5288000000000004
