,objectId,jd,fid,pid,diffmaglim,programid,candid,isdiffpos,tblid,nid,rcid,field,xpos,ypos,ra,decl,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,ssdistnr,ssmagnr,ssnamenr,sumrat,magapbig,sigmagapbig,ranr,decnr,sgmag1,srmag1,simag1,szmag1,sgscore1,distpsnr1,ndethist,ncovhist,jdstarthist,jdendhist,scorr,tooflag,objectidps1,objectidps2,sgmag2,srmag2,simag2,szmag2,sgscore2,distpsnr2,objectidps3,sgmag3,srmag3,simag3,szmag3,sgscore3,distpsnr3,nmtchps,rfid,jdstartref,jdendref,nframesref,rbversion,dsnrms,ssnrms,dsdiff,magzpsci,magzpsciunc,magzpscirms,nmatches,clrcoeff,clrcounc,zpclrcov,zpmed,clrmed,clrrms,neargaia,neargaiabright,maggaia,maggaiabright,obsdate,magcorr
14,ZTF18abcepqu,2458288.7699537,2,534269952515,20.7149,2,534269952515015006,t,6,534,25,795,1286.47,477.599,244.4685498,54.7523031,19.8793,0.144452,3.24658,19.8121,0.1875,5.55328,21.312,0.069,0.943,-0.038,-0.0363317,-0.067221,2.29,0.999,477.599,0.902759,0.998587,0.715,0.678,0.312227,0.29607,1.05457,3,0,0.473333,1.0,19.7,2018LF05,0.999054,19.8346,0.2449,244.4709184,54.7515476,-999.0,21.5654,20.9434,20.545,0.0904643,5.5179,1,275,2458288.7699537,2458288.7699537,14.596411705017099,0,173702444709622583,173702444699838326,21.4518,21.1646,20.9181,20.8465,0.986875,14.7978,173692444662288693,-999.0,22.0493,21.6299,20.9985,0.527994,15.1259,5,795120225,2458186.910139,2458223.002905,22,,,,,,,,,,,,,,,,,,,2018-06-19T06:28:44.000,0.17930000000000135
17,ZTF18abcewbi,2458288.7834028,2,534283402515,20.7175,2,534283402515015006,t,6,534,25,795,1318.2,517.324,244.4540694,54.7399971,19.8188,0.129635,1.60543,19.8196,0.1881,6.77402,23.02,0.305,0.859,-0.434,0.314901,0.000778,2.45,0.968,517.324,0.897895,0.9345,0.712,0.678,0.290612,0.276735,1.05015,4,0,0.443333,1.0,19.7,2018LF05,0.925492,19.6667,0.2092,244.457274,54.7404537,-999.0,22.0655,21.5996,-999.0,0.00291667,18.5786,1,276,2458288.7834028,2458288.7834028,14.441629409789998,0,173682444529632718,173692444616272698,-999.0,21.6804,20.3951,19.7938,0.99875,19.8026,173692444593985241,-999.0,22.4842,21.9196,-999.0,0.34475,22.5641,4,795120225,2458186.910139,2458223.002905,22,,,,,,,,,,,,,,,,,,,2018-06-19T06:48:06.002,0.11880000000000024
23,ZTF18abcfgai,2458288.8056597,2,534305652515,20.7575,2,534305652515015009,t,9,534,25,795,1370.63,589.618,244.4301811,54.7195191,19.6635,0.12449,4.44267,19.5657,0.1476,4.28744,18.172,0.019,0.543,-0.031,0.0421211,-0.097839,2.36,0.981,589.618,1.19183,0.979444,0.765,0.698,0.324153,0.295763,1.09599,2,0,0.62,1.0,19.7,2018LF05,1.0,19.5368,0.1813,244.4289776,54.7205047,19.596,18.398,17.1968,16.6557,1.0,4.36248,1,277,2458288.8056597,2458288.8056597,17.7182903289795,0,173662444290125292,173662444285915514,-999.0,20.8612,-999.0,-999.0,0.5,5.28362,173662444268506409,-999.0,22.3267,21.9477,-999.0,0.16,9.81601,6,795120225,2458186.910139,2458223.002905,22,,,,,,,,,,,,,,,,,,,2018-06-19T07:20:08.998,-0.0365000000000002
45,ZTF18abcgcyh,2458288.8463773,1,534346372515,20.8592,2,534346372515015014,t,14,534,25,795,1470.12,714.202,244.3865601,54.6816414,20.0483,0.148666,1.22538,19.9251,0.1569,17.3449,22.77,0.285,0.694,-0.419,0.181213,-0.123155,2.75,0.932,714.202,0.934134,0.974009,0.827,0.774,0.300727,0.281455,1.06848,2,0,0.473333,1.0,19.6,2018LF05,1.0,19.958,0.2064,244.38003430000003,54.6785465,17.5915,-999.0,21.9961,-999.0,0.5,18.7566,1,278,2458288.8463773,2458288.8463773,15.7433500289917,0,173622443796252619,173612443772817994,22.0096,21.1134,20.6969,20.4605,0.995583,19.6923,173622443874257124,22.1037,21.8811,21.7604,21.1325,0.50556,25.5059,5,795120125,2458203.893588,2458227.87088,15,,,,,,,,,,,,,,,,,,,2018-06-19T08:18:46.999,0.4482999999999997
57,ZTF18abcghox,2458288.8606597,1,534360652515,20.857,2,534360652515015017,t,17,534,25,795,1505.28,760.475,244.3712527,54.6682115,20.0046,0.140267,1.49551,19.7446,0.1343,2.67438,22.351,0.27,1.318,-0.305,0.0386702,-0.259961,3.01,0.952,760.475,1.11236,0.885163,0.922,0.833,0.306312,0.276744,1.10684,4,0,0.476667,1.0,19.6,2018LF05,1.0,19.7805,0.177,244.3711168,54.66895940000001,-999.0,21.8352,20.8991,20.357,1.0,7.97352,1,279,2458288.8606597,2458288.8606597,14.943151473999,0,173602443699320080,173602443798502161,-999.0,-999.0,21.4099,20.6252,0.5,18.1891,173602443803132013,-999.0,-999.0,21.5336,21.0305,0.002,18.592,4,795120125,2458203.893588,2458227.87088,15,,,,,,,,,,,,,,,,,,,2018-06-19T08:39:20.998,0.4045999999999985
77,ZTF18abcgrog,2458288.8863657,1,534386362515,20.6791,2,534386362515015012,t,12,534,25,795,1562.97,836.301,244.3440396,54.6439464,19.9034,0.162873,1.62742,20.0373,0.1907,11.6095,20.502,0.044,0.924,-0.063,0.271667,0.133913,3.09,0.94,836.301,0.641849,0.930147,0.763,0.695,0.246926,0.224919,1.09784,5,0,0.44,1.0,19.6,2018LF05,0.976306,20.0857,0.2547,244.3496013,54.6433885,20.3857,19.1938,18.5666,18.2967,0.9975,11.6914,1,280,2458288.8863657,2458288.8863657,15.3805418014526,0,173572443496732848,173572443382940878,21.1193,-999.0,21.9875,-999.0,0.0135833,13.7042,173572443373393955,20.8549,20.1491,19.5897,19.3257,0.0118333,14.1351,6,795120125,2458203.893588,2458227.87088,15,,,,,,,,,,,,,,,,,,,2018-06-19T09:16:21.996,0.3033999999999999
228,ZTF18abcivpv,2458289.8665741,1,535366573115,20.7844,2,535366573115015018,t,18,535,31,795,230.894,878.759,243.3474134,53.6896691,20.1196,0.158529,1.12035,20.1077,0.1998,11.6095,21.45,0.082,0.619,0.085,-0.179533,-0.011904,2.55,0.921,230.894,0.67669,1.04111,0.87,0.738,0.341176,0.289412,1.17886,4,0,0.42,2.0,19.5,2018LF05,0.98329,20.0511,0.2425,243.352876,53.69010550000001,21.6287,20.8499,20.5396,20.1605,0.00125,11.8626,1,269,2458289.8665741,2458289.8665741,12.383150100708,0,172422433529638821,172422433401809552,21.898,21.5687,21.4927,-999.0,0.0124583,15.6308,172432433545910585,21.7791,21.5833,21.2071,20.8268,0.016369,16.9493,4,795120131,2458203.893588,2458227.8410650003,15,,,,,,,,,,,,,,,,,,,2018-06-20T08:47:52.002,0.6195999999999984
240,ZTF18abcjesp,2458289.8852546,1,535385253115,20.582,2,535385253115015022,t,22,535,31,795,275.803,938.876,243.3269046,53.6699536,20.3219,0.213123,1.35464,20.6006,0.3388,8.45187,22.602,0.33,1.182,-0.216,-0.0448319,0.278675,4.47,0.824,275.803,-0.0185614,0.659969,0.862,0.729,0.192841,0.163087,1.18244,7,0,0.303333,2.0,19.5,2018LF05,0.950107,20.657,0.4569,243.3298279,53.6715821,-999.0,22.0588,21.3897,20.9104,0.0,10.9874,1,270,2458289.8852546,2458289.8852546,9.76354122161865,0,172402433306417140,172402433301151312,21.2176,20.1224,18.6785,18.0283,0.999167,12.046,172402433208563464,-999.0,-999.0,21.5671,20.9295,0.8605,13.4543,9,795120131,2458203.893588,2458227.8410650003,15,,,,,,,,,,,,,,,,,,,2018-06-20T09:14:45.997,0.8218999999999994
377,ZTF18abcmqxc,2458290.8296991,2,536329691215,20.5164,2,536329691215015031,t,31,536,12,795,2574.86,819.162,242.3347344,52.6444865,19.3345,0.115339,1.09399,19.124,0.1173,4.88838,23.052,0.33,0.858,-0.508,0.0435647,-0.210532,2.5,0.979,497.638,1.39236,0.939771,0.791,0.765,0.3164,0.306,1.03399,2,0,0.533333,2.0,19.4,2018LF05,1.0,19.0096,0.1349,242.3352423,52.6458281,22.1494,21.593,20.8532,20.5344,0.0,21.0075,1,264,2458290.8296991,2458290.8296991,18.7191143035889,0,171182423308600478,171172423426219692,19.7777,19.455,19.3814,19.2801,0.00575,23.9292,171162423257338227,19.94,18.7693,18.0903,17.7822,0.99875,26.31,3,795120212,2458217.9399650004,2458223.002905,21,,,,,,,,,,,,,,,,,,,2018-06-21T07:54:46.002,-0.06550000000000011
378,ZTF18abcljer,2458290.7635648,2,536263561215,20.5237,2,536263561215015005,t,5,536,12,795,2388.98,559.143,242.4107666,52.7207756,19.3419,0.131693,1.40226,19.1541,0.1239,7.7834,21.42,0.071,0.71,0.028,0.127382,-0.187809,2.25,0.977,559.143,1.36959,1.00647,0.79,0.691,0.351111,0.307111,1.14327,5,0,0.5,2.0,19.5,2018LF05,0.900816,19.2648,0.1753,242.411301,52.71861120000001,21.7432,21.5927,21.1967,20.8892,0.615905,7.94246,1,262,2458290.7635648,2458290.7635648,17.410516738891598,0,171262424112472966,171272424077994501,21.2374,20.9824,20.8691,20.7799,0.626,27.5107,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2,795120212,2458217.9399650004,2458223.002905,21,,,,,,,,,,,,,,,,,,,2018-06-21T06:19:31.999,-0.15810000000000102
