,objectId,jd,fid,pid,diffmaglim,programid,candid,isdiffpos,tblid,nid,rcid,field,xpos,ypos,ra,decl,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,ssdistnr,ssmagnr,ssnamenr,sumrat,magapbig,sigmagapbig,ranr,decnr,sgmag1,srmag1,simag1,szmag1,sgscore1,distpsnr1,ndethist,ncovhist,jdstarthist,jdendhist,scorr,tooflag,objectidps1,objectidps2,sgmag2,srmag2,simag2,szmag2,sgscore2,distpsnr2,objectidps3,sgmag3,srmag3,simag3,szmag3,sgscore3,distpsnr3,nmtchps,rfid,jdstartref,jdendref,nframesref,rbversion,dsnrms,ssnrms,dsdiff,magzpsci,magzpsciunc,magzpscirms,nmatches,clrcoeff,clrcounc,zpclrcov,zpmed,clrmed,clrrms,neargaia,neargaiabright,maggaia,maggaiabright,obsdate,magcorr
21,ZTF18abcfcsg,2458288.7976736,2,534297674215,20.7136,2,534297674215015023,t,23,534,42,634,1150.07,2731.47,254.4444795,26.380946500000004,19.946,0.198041,1.62594,19.8707,0.1881,5.71963,21.809,0.108,0.829,0.159,-0.255697,-0.075263,2.67,0.969,349.027,0.842904,0.904755,0.761,0.662,0.285019,0.24794,1.14955,4,0,0.433333,7.0,20.1,2018LQ02,0.982463,19.6334,0.1937,254.4440379,26.3825027,-999.0,22.0742,21.2664,20.8751,0.004375,5.56689,1,269,2458288.7976736,2458288.7976736,13.205604553222699,0,139652544440099427,139652544450954780,-999.0,22.4655,21.4145,20.8132,0.00267857,9.03055,139652544454264781,-999.0,-999.0,21.6039,20.6387,0.5,9.20066,11,634120242,2458159.044178,2458219.003762,20,,,,,,,,,,,,,,,,,,,2018-06-19T07:08:38.999,-0.15399999999999991
35,ZTF18abcfbfd,2458288.7909722,2,534290974215,20.8018,2,534290974215015035,t,35,534,42,634,1148.55,2742.05,254.4459457,26.376936600000004,19.7929,0.151118,2.23683,19.5364,0.1358,3.92328,22.628,0.205,0.681,-0.034,0.102102,-0.256471,1.83,0.979,338.453,1.26543,1.24355,0.788,0.664,0.430601,0.362842,1.18675,6,0,0.413333,7.0,20.1,2018LQ02,0.904561,19.4549,0.1611,254.44712880000003,26.3766294,-999.0,22.1166,21.522,20.6965,0.0111667,4.35913,1,268,2458288.7909722,2458288.7909722,16.0146331787109,0,139652544473122472,139652544454264781,-999.0,-999.0,21.6039,20.6387,0.5,5.98976,139652544450954780,-999.0,22.4655,21.4145,20.8132,0.00267857,6.24015,12,634120242,2458159.044178,2458219.003762,20,,,,,,,,,,,,,,,,,,,2018-06-19T06:58:59.998,-0.3071000000000019
51,ZTF18abcfmtm,2458288.8159144,2,534315914215,20.8624,2,534315914215015031,t,31,534,42,634,1164.95,2691.16,254.4405221,26.3915711,19.8147,0.152097,1.31963,19.6859,0.1455,17.8014,23.113,0.351,0.856,-0.286,0.215316,-0.128828,2.04,0.972,389.339,1.17652,1.13174,0.78,0.636,0.382353,0.311765,1.22642,3,0,0.443333,7.0,20.1,2018LQ02,0.956852,19.5995,0.1716,254.4460272,26.3924479,-999.0,-999.0,21.4878,21.0215,0.794396,19.601,1,270,2458288.8159144,2458288.8159144,15.153265953064,0,139662544452236417,139662544465527825,-999.0,-999.0,21.6392,21.3568,0.257708,20.9539,139672544415167646,19.9928,19.3086,19.0456,18.9061,0.997,21.7818,12,634120242,2458159.044178,2458219.003762,20,,,,,,,,,,,,,,,,,,,2018-06-19T07:34:55.004,-0.285300000000003
53,ZTF18abcggkw,2458288.8538542003,1,534353854215,20.914,2,534353854215015102,t,102,534,42,634,1196.98,2609.55,254.4328177,26.4128468,20.3816,0.194066,1.11952,20.2363,0.2015,5.25921,20.68,0.04,0.486,-0.039,0.185034,-0.145308,2.7,0.864,470.95,0.677749,0.981511,0.905,0.842,0.335185,0.311852,1.07482,2,0,0.42,7.0,20.1,2018LQ02,1.0,20.1973,0.2479,254.4313976,26.4136062,20.6034,19.7239,19.3082,19.1074,0.994167,5.33464,1,271,2458288.8538542003,2458288.8538542003,11.1532793045044,0,139692544313916958,139692544286617771,-999.0,21.9155,21.332,20.9225,0.851417,14.208,139702544334440762,22.0639,21.9122,20.1721,19.3548,0.983125,14.5343,7,634120142,2458203.898831,2458206.02581,15,,,,,,,,,,,,,,,,,,,2018-06-19T08:29:33.003,0.2815999999999974
203,ZTF18abcikfh,2458289.7459375,2,535245934215,20.5578,2,535245934215015003,t,3,535,42,634,825.264,542.143,254.5394386,26.9398872,19.6903,0.135355,1.00082,19.7236,0.1893,5.07602,21.524,0.11,1.381,0.136,0.209922,0.033347,2.81,0.972,542.143,0.834244,0.857816,0.759,0.661,0.270107,0.235231,1.14826,5,0,0.45,7.0,20.1,2018LQ02,0.974209,19.8789,0.2794,254.5385807,26.9386802,-999.0,21.7755,21.0238,20.5636,0.000625,5.21817,1,268,2458289.7459375,2458289.7459375,14.969262123107901,0,140322545386177012,140332545403350463,-999.0,18.8925,18.7218,-999.0,0.5,6.27268,140322545430089400,22.0753,21.7738,21.138,20.7402,0.0,11.8099,8,634120242,2458159.044178,2458219.003762,20,,,,,,,,,,,,,,,,,,,2018-06-20T05:54:09.000,-0.40970000000000084
217,ZTF18abcipqy,2458289.7689815,2,535268984215,20.5602,2,535268984215015000,t,0,535,42,634,843.193,492.68,254.5346772,26.953876300000005,20.144,0.193006,1.221,19.9212,0.2216,5.43901,21.639,0.096,0.921,-0.035,0.159954,-0.222844,2.7,0.944,492.68,0.639037,0.911015,1.04,0.785,0.385185,0.290741,1.32484,2,0,0.346667,7.0,20.1,2018LQ02,1.0,20.1236,0.342,254.5363862,26.9540024,17.8319,18.043,17.9151,17.8987,0.5,2.11202,1,269,2458289.7689815,2458289.7689815,9.69739818572998,0,140342545342454798,140342545364925356,22.0633,21.7971,21.3144,20.9999,0.05025,5.42654,140342545336763057,22.0958,20.9822,20.3207,19.9913,0.00583333,7.36202,10,634120242,2458159.044178,2458219.003762,20,,,,,,,,,,,,,,,,,,,2018-06-20T06:27:20.002,0.04399999999999693
442,ZTF18abcmppe,2458290.8245255,2,536324524115,20.4241,1,536324524115015007,t,7,536,41,634,567.685,1475.14,254.61954469999998,27.563261100000002,19.9389,0.177643,1.45393,19.7379,0.2074,0.870665,22.512,0.23,1.072,-0.123,0.171292,-0.20095,4.0,0.851,567.685,0.686242,0.62827,1.142,0.951,0.2855,0.23775,1.20084,5,0,0.266667,7.0,20.1,2018LQ02,0.955747,19.6812,0.252,254.619544,27.5630162,-999.0,22.4259,21.3465,20.8669,0.891583,0.641183,1,281,2458290.8245255,2458290.8245255,10.4476375579834,0,141072546196236247,141072546192214312,22.298,21.826,21.5084,21.4858,0.0,6.57588,141072546203909092,22.6456,22.3928,-999.0,-999.0,0.260667,8.39918,9,634120241,2458158.991806,2458218.003252,17,,,,,,,,,,,,,,,,,,,2018-06-21T07:47:19.003,-0.16110000000000113
1578,ZTF18abdkiwa,2458301.6873264,2,547187322815,20.3284,2,547187322815015001,t,1,547,28,681,357.157,533.883,256.57555319999994,33.1350484,19.8588,0.159906,1.10767,19.9448,0.2279,3.60649,22.531,0.192,0.815,-0.206,-0.307232,0.086018,3.25,0.95,357.157,0.383616,0.929838,0.881,0.735,0.271077,0.226154,1.19864,3,0,0.403333,5.0,20.2,2018LQ02,0.983274,19.5531,0.2038,256.5747751,33.1358293,-999.0,-999.0,21.984,20.937,0.369827,3.9682,1,378,2458301.6873264,2458301.6873264,11.775386810302699,0,147762565746183723,147752565724298433,22.0668,21.3073,20.6669,20.3332,0.99,15.8538,147762565703554102,-999.0,-999.0,21.3665,20.8185,0.442729,16.2556,7,681120228,2458157.049248,2458219.002801,19,,,,,,,,,,,,,,,,,,,2018-07-02T04:29:45.001,-0.3412000000000006
1580,ZTF18abdkjap,2458301.7083565,2,547208354915,20.4228,2,547208354915015010,t,10,547,49,1678,812.925,1233.41,256.57412400000004,33.1460359,20.0246,0.149615,1.59337,20.1564,0.2831,9.96946,20.222,0.06,2.011,0.086,-0.0114109,0.131771,2.52,0.93,812.925,0.266442,1.08146,0.727,0.664,0.288492,0.263492,1.09488,6,0,0.473333,6.0,20.2,2018LQ02,0.967424,20.0892,0.3412,256.5747057,33.1432773,20.9939,20.536,20.1849,20.1734,0.00125,10.2507,1,380,2458301.7083565,2458301.7083565,11.2616024017334,0,147772565747352525,147772565703496402,21.4184,20.2582,18.9196,18.3122,0.983958,11.5982,147772565709499049,-999.0,22.2983,21.3488,20.7911,0.370833,13.5568,9,1678120249,2458155.06625,2458280.851088,16,,,,,,,,,,,,,,,,,,,2018-07-02T05:00:02.002,-0.17539999999999978
1584,ZTF18abdkizr,2458301.6964468,2,547196444915,20.2952,2,547196444915015011,t,11,547,49,1678,808.206,1253.52,256.5749859,33.1399016,19.6758,0.137242,2.24741,19.497,0.1613,4.8671,22.839,0.272,0.546,-0.186,-0.119411,-0.178837,2.85,0.938,808.206,0.79817,1.0321,1.011,0.953,0.354737,0.334386,1.06086,2,0,0.45,5.0,20.2,2018LQ02,1.0,19.4129,0.191,256.576303,33.1390935,22.2155,20.9825,19.9718,19.5078,0.96647,9.50533,1,379,2458301.6964468,2458301.6964468,13.009253501892099,0,147762565718959126,147772565747352525,20.9939,20.536,20.1849,20.1734,0.00125,12.0213,147762565746183723,-999.0,-999.0,21.984,20.937,0.369827,14.5361,6,1678120249,2458155.06625,2458280.851088,16,,,,,,,,,,,,,,,,,,,2018-07-02T04:42:53.004,-0.5242000000000004
1808,ZTF18abeakbt,2458303.8003472,2,549300344215,20.5086,2,549300344215015016,t,16,549,42,681,2277.68,765.462,257.1095404,34.07980560000001,19.7803,0.151185,2.14607,20.1084,0.2747,1.82317,22.174,0.165,1.094,0.106,0.246811,0.328099,2.49,0.978,765.462,0.400208,0.989907,0.734,0.697,0.294779,0.27992,1.05308,7,0,0.433333,6.0,20.2,2018LQ02,0.95003,20.0172,0.3237,257.1101488,34.079903200000004,-999.0,-999.0,21.546,21.3138,0.0025,1.93293,2,388,2458303.8003472,2458303.8012847,13.269682884216301,0,148892571102476560,148892571113064028,-999.0,21.9386,20.98,20.5014,0.0,8.75389,148892571053857554,-999.0,21.6262,20.4312,20.1461,0.0,12.7156,7,681120242,2458157.049248,2458219.002801,20,,,,,,,,,,,,,,,,,,,2018-07-04T07:12:29.998,-0.41969999999999885
1821,ZTF18abebpyv,2458303.8528935,2,549352894215,20.5156,2,549352894215015004,t,4,549,42,681,2284.95,672.811,257.1075849,34.098868200000005,20.1426,0.155928,1.17247,20.2143,0.3243,0.834017,23.023,0.351,1.052,-0.651,0.393552,0.071707,1.62,0.975,672.811,0.301254,1.40817,0.643,0.614,0.396914,0.379012,1.04723,7,0,0.49,5.0,20.2,2018LQ02,0.993223,20.5967,0.5911,257.10786980000006,34.0988836,-999.0,21.8227,20.7394,20.3354,0.126042,7.61627,1,390,2458303.8528935,2458303.8528935,10.8580474853516,0,148922571066781593,148922571062942395,-999.0,22.0569,21.1546,21.0243,0.00583333,11.0762,148912571108505930,18.0503,17.187,16.8505,16.7132,0.99875,13.9338,10,681120242,2458157.049248,2458219.002801,20,,,,,,,,,,,,,,,,,,,2018-07-04T08:28:09.998,-0.057399999999997675
1861,ZTF18abeakbt,2458303.8012847,2,549301284215,20.5915,1,549301284215015009,t,9,549,42,681,2276.64,762.753,257.10946659999996,34.0801131,19.8415,0.150786,1.7153,19.5721,0.164,2.14305,22.174,0.165,1.094,0.106,0.123399,-0.269429,2.52,0.975,762.753,1.01938,0.930177,0.828,0.799,0.328571,0.317063,1.0363,4,0,0.456667,5.0,20.2,2018LQ02,0.998815,19.5105,0.1983,257.1101488,34.079903200000004,-999.0,-999.0,21.546,21.3138,0.0025,2.23345,1,387,2458303.8012847,2458303.8012847,13.684826850891099,0,148892571102476560,148892571113064028,-999.0,21.9386,20.98,20.5014,0.0,9.77577,148892571053857554,-999.0,21.6262,20.4312,20.1461,0.0,12.2305,7,681120242,2458157.049248,2458219.0028009997,20,,,,,,,,,,,,,,,,,,,2018-07-04T07:13:50.998,-0.3584999999999994
1944,ZTF18abeectb,2458304.726666701,1,550226664115,20.978,2,550226664115015072,t,72,550,41,681,1361.18,2455.59,257.4103546,34.479118,20.3768,0.187451,1.41532,21.0224,0.3989,1.73553,21.95,0.143,0.787,-0.016,-0.0653172,0.645636,2.18,0.946,624.91,-0.0444304,1.18013,0.655,0.615,0.300459,0.28211,1.06504,5,0,0.45,5.0,20.2,2018LQ02,0.969073,20.6081,0.3498,257.409765,34.4791138,21.7606,21.1128,20.8365,20.6898,0.962042,1.50722,1,389,2458304.726666701,2458304.726666701,11.7031412124634,0,149372574099025512,149372574071413678,20.8203,20.2432,19.7448,19.7245,0.0192917,10.9355,149372574129629222,20.4942,19.7147,19.3288,19.1807,1.0,13.5146,9,681120141,2458203.899757,2458207.014317,16,,,,,,,,,,,,,,,,,,,2018-07-05T05:26:24.003,0.17680000000000007
1951,ZTF18abefcno,2458304.8316088,2,550331604115,20.6028,2,550331604115015033,t,33,550,41,681,1386.68,2300.26,257.4049287,34.5208931,20.0284,0.199129,1.94054,19.9508,0.2255,6.04879,22.155,0.139,0.643,-0.043,0.321102,-0.077592,2.96,0.963,780.236,0.652017,0.807233,0.83,0.632,0.280405,0.213514,1.31329,4,0,0.33,5.0,20.2,2018LQ02,0.993653,19.6895,0.2272,257.4035059,34.5196591,-999.0,-999.0,21.3681,20.8944,0.00125,6.5923,1,391,2458304.8316088,2458304.8316088,12.324841499328599,0,149422574034194059,149432574013420906,-999.0,-999.0,21.5424,-999.0,0.620435,19.084,149422573989421281,20.4139,20.1271,19.9724,19.9911,0.987708,22.1193,6,681120241,2458157.049248,2458218.002708,15,,,,,,,,,,,,,,,,,,,2018-07-05T07:57:31.000,-0.17159999999999798
1952,ZTF18abeenpa,2458304.8097338,1,550309734115,20.8302,2,550309734115015059,t,59,550,41,681,1383.8,2334.48,257.4055665,34.5130496,20.4408,0.209406,1.20022,20.1067,0.1954,18.1738,21.632,0.103,0.746,-0.028,-0.0810274,-0.334085,3.0,0.849,746.021,0.7235,0.866517,0.846,0.759,0.282,0.253,1.11462,4,0,0.356667,5.0,20.2,2018LQ02,0.969006,19.8265,0.1933,257.40663140000004,34.5080151,-999.0,22.0897,21.7066,-999.0,0.0748869,1.58568,1,390,2458304.8097338,2458304.8097338,9.306694984436039,0,149412574052105871,149412574067700213,22.1672,21.7044,21.0359,20.8405,0.00979167,18.2871,149412574108500401,-999.0,21.6228,20.5444,20.2236,0.0184583,23.3739,8,681120141,2458203.899757,2458207.014317,16,,,,,,,,,,,,,,,,,,,2018-07-05T07:26:01.000,0.24080000000000013
1956,ZTF18abefibj,2458304.8380093,2,550338004115,20.5876,2,550338004115015051,t,51,550,41,681,1388.85,2295.09,257.4048157,34.523048200000005,20.1708,0.18706,0.905509,20.0803,0.2654,11.9061,23.087,0.274,0.5,0.026,0.0115176,-0.090539,1.72,0.974,785.408,0.507263,1.3423,0.605,0.53,0.351744,0.30814,1.14151,6,0,0.416667,5.0,20.2,2018LQ02,1.0,19.8298,0.2703,257.40096659999995,34.52197,-999.0,-999.0,21.5424,-999.0,0.620435,13.0785,1,392,2458304.8380093,2458304.8380093,11.499150276184098,0,149432574013420906,149422574034194059,-999.0,-999.0,21.3681,20.8944,0.00125,13.2081,149422573975088608,-999.0,-999.0,21.6192,-999.0,0.0951131,21.8193,6,681120241,2458157.049248,2458218.002708,15,,,,,,,,,,,,,,,,,,,2018-07-05T08:06:44.004,-0.02919999999999945
1965,ZTF18abegtje,2458304.873044,2,550373044115,20.4945,2,550373044115015019,t,19,550,41,681,1385.56,2236.38,257.4052808,34.534324700000006,19.7469,0.163868,2.65759,19.7686,0.2121,3.59127,22.772,0.338,1.367,-0.313,0.201858,0.021748,2.22,0.983,844.119,0.72588,1.06794,0.631,0.593,0.284234,0.267117,1.06408,5,0,0.433333,5.0,20.2,2018LQ02,0.951359,19.6078,0.2343,257.4048489,34.535270000000004,-999.0,19.7656,19.325,-999.0,0.5,12.6771,1,393,2458304.873044,2458304.873044,13.821348190307601,0,149432574039757713,149442574040046818,-999.0,-999.0,21.6239,-999.0,0.5,15.6283,149442574068876878,-999.0,-999.0,21.0991,-999.0,0.5,15.807,10,681120241,2458157.049248,2458218.002708,15,,,,,,,,,,,,,,,,,,,2018-07-05T08:57:11.002,-0.45309999999999917
2213,ZTF18abeilhb,2458305.708588,1,551208584115,20.7647,2,551208584115015012,t,12,551,41,681,426.815,1074.48,257.72372290000004,34.89096110000001,20.2664,0.215176,1.59869,20.3536,0.2756,3.00633,17.898,0.014,0.735,-0.016,0.104831,0.087188,3.08,0.797,426.815,0.411128,0.845586,0.889,0.786,0.288636,0.255195,1.13104,5,0,0.536667,6.0,20.2,2018LQ02,0.955257,20.3749,0.3522,257.724184,34.8902031,17.8663,17.6129,17.4973,17.4963,1.0,3.0909,1,395,2458305.708588,2458305.708588,9.9071626663208,0,149862577241688811,149862577233553938,-999.0,21.9461,21.4617,20.8043,0.0255417,17.6897,149872577182765943,21.6166,20.7149,20.1588,19.8821,0.00416667,24.3684,7,681120141,2458203.899757,2458207.014317,16,,,,,,,,,,,,,,,,,,,2018-07-06T05:00:22.003,0.06640000000000157
2214,ZTF18abeinrx,2458305.714213,1,551214214115,20.7832,2,551214214115015017,t,17,551,41,681,427.61,1070.99,257.7236135,34.8934896,20.2701,0.180887,1.07313,20.3111,0.2423,11.8037,17.898,0.014,0.735,-0.016,0.0137195,0.040997,3.14,0.625,427.61,0.472123,0.841694,0.761,0.74,0.242357,0.235669,1.02838,7,0,0.423333,6.0,20.2,2018LQ02,0.877222,20.0788,0.2504,257.724184,34.8902031,17.8663,17.6129,17.4973,17.4963,1.0,11.9925,1,396,2458305.714213,2458305.714213,11.521470069885302,0,149862577241688811,149872577182765943,21.6166,20.7149,20.1588,19.8821,0.00416667,18.2806,149862577233553938,-999.0,21.9461,21.4617,20.8043,0.0255417,26.7636,5,681120141,2458203.899757,2458207.014317,16,,,,,,,,,,,,,,,,,,,2018-07-06T05:08:28.003,0.07010000000000005
2229,ZTF18aberfce,2458305.8383333,2,551338334115,20.5347,2,551338334115015006,t,6,551,41,681,452.626,887.828,257.7190724,34.9416515,19.8794,0.147697,1.42223,19.8126,0.1936,6.449,22.395,0.192,0.784,-0.045,0.242856,-0.06677,2.65,0.969,452.626,0.722096,0.984623,0.878,0.809,0.331321,0.305283,1.08529,3,0,0.463333,6.0,20.2,2018LQ02,1.0,20.13,0.3312,257.71897290000004,34.9398387,20.6787,20.4241,20.3293,20.3788,0.99875,11.6606,1,397,2458305.8383333,2458305.8383333,12.4968423843384,0,149922577214457511,149922577248755779,-999.0,-999.0,21.7505,20.9475,0.08375,22.4988,149932577218628161,-999.0,-999.0,19.6041,-999.0,0.5,23.5218,5,681120241,2458157.049248,2458218.002708,15,,,,,,,,,,,,,,,,,,,2018-07-06T08:07:11.997,-0.3205999999999989
2234,ZTF18aberkka,2458305.8601042004,2,551360104115,20.1152,2,551360104115015007,t,7,551,41,681,453.126,854.506,257.7192287,34.9485838,20.3068,0.209671,0.882681,20.366,0.3893,5.74054,22.442,0.268,1.458,-0.465,-0.134632,0.05916,4.23,0.536,453.126,-0.250805,0.745364,1.25,1.17,0.295508,0.276596,1.06838,5,0,0.296667,6.0,20.2,2018LQ02,0.940823,20.3415,0.4888,257.7192252,34.9501932,-999.0,-999.0,19.6041,-999.0,0.5,8.74391,1,398,2458305.8601042004,2458305.8601042004,6.36813926696777,0,149932577218628161,149932577252346512,-999.0,22.0161,21.0465,20.3536,0.950458,18.8475,149942577217705159,21.5738,20.2955,19.4555,19.1404,0.02825,20.2719,10,681120241,2458157.049248,2458218.002708,15,,,,,,,,,,,,,,,,,,,2018-07-06T08:38:33.003,0.10679999999999978
2458,ZTF18abfgbxo,2458307.6957176,2,553195715915,20.7008,2,553195715915015018,t,18,553,59,681,1512.44,1976.23,258.403432,35.6921811,19.768,0.138293,2.72648,19.714,0.1728,2.6944,20.882,0.06,1.105,0.074,0.284522,-0.054002,2.02,0.973,1104.27,0.986828,1.14159,0.597,0.564,0.295545,0.279208,1.05851,5,0,0.516667,6.0,20.2,2018LQ02,0.967228,19.5434,0.1888,258.4031045,35.69289050000001,21.7501,21.2672,20.7495,20.4965,0.00125,2.63679,1,374,2458307.6957176,2458307.6957176,15.6990098953247,0,150832584028862035,150822584086679814,-999.0,-999.0,20.1778,-999.0,0.5,16.2472,150832584089190042,-999.0,-999.0,20.6227,-999.0,0.279304,16.5088,6,681120259,2458157.049248,2458218.002708,17,,,,,,,,,,,,,,,,,,,2018-07-08T04:41:50.001,-0.4319999999999986
2462,ZTF18abfglqc,2458307.7130556,1,553213055915,20.8972,2,553213055915015072,t,72,553,59,681,1516.64,1953.21,258.4033068,35.699847,20.4753,0.212217,1.11643,20.2796,0.2198,12.7732,19.88,0.018,0.236,0.0,0.286253,-0.195717,2.02,0.856,1127.29,0.61758,1.26017,0.733,0.676,0.362871,0.334653,1.08432,4,0,0.466667,6.0,20.2,2018LQ02,0.886867,20.2954,0.2848,258.4050791,35.70313970000001,19.8475,19.3544,19.1444,19.0934,1.0,12.8924,1,375,2458307.7130556,2458307.7130556,11.5574560165405,0,150842584051064378,150832583979198044,22.0856,21.1953,20.4055,20.1579,0.992333,17.2786,150832584090706605,19.3015,18.827,18.6096,18.5124,1.0,20.4488,6,681120159,2458203.899757,2458227.8595720003,15,,,,,,,,,,,,,,,,,,,2018-07-08T05:06:48.004,0.27530000000000143
2471,ZTF18abfgvqa,2458307.7343171,1,553234315915,20.8923,2,553234315915015076,t,76,553,59,681,1521.88,1920.67,258.4029259,35.7087857,20.2491,0.183727,1.43699,20.8111,0.3633,11.2,22.246,0.203,1.108,-0.279,0.472552,0.561998,2.78,0.95,1159.83,0.08116,0.904889,0.613,0.566,0.220504,0.203597,1.08304,7,0,0.33,6.0,20.2,2018LQ02,0.934906,20.7121,0.4249,258.4056295,35.7110448,22.4175,21.2273,20.7514,20.5006,0.260411,11.4347,1,376,2458307.7343171,2458307.7343171,13.8048801422119,0,150852584056633914,150852584019305696,20.4956,21.244,21.2277,-999.0,0.5,14.1413,150852584080911203,21.7537,20.9637,20.5984,20.385,0.967042,14.9944,8,681120159,2458203.899757,2458227.8595720003,15,,,,,,,,,,,,,,,,,,,2018-07-08T05:37:24.997,0.049099999999999255
