,objectId,jd,fid,pid,diffmaglim,programid,candid,isdiffpos,tblid,nid,rcid,field,xpos,ypos,ra,decl,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,ssdistnr,ssmagnr,ssnamenr,sumrat,magapbig,sigmagapbig,ranr,decnr,sgmag1,srmag1,simag1,szmag1,sgscore1,distpsnr1,ndethist,ncovhist,jdstarthist,jdendhist,scorr,tooflag,objectidps1,objectidps2,sgmag2,srmag2,simag2,szmag2,sgscore2,distpsnr2,objectidps3,sgmag3,srmag3,simag3,szmag3,sgscore3,distpsnr3,nmtchps,rfid,jdstartref,jdendref,nframesref,rbversion,dsnrms,ssnrms,dsdiff,magzpsci,magzpsciunc,magzpscirms,nmatches,clrcoeff,clrcounc,zpclrcov,zpmed,clrmed,clrrms,neargaia,neargaiabright,maggaia,maggaiabright,obsdate,magcorr
362,ZTF18abckxfc,2458290.7121528,1,536212155115,20.2212,2,536212155115015000,t,0,536,51,587,1288.88,596.757,270.6434745,21.613458,18.0412,0.0703166,6.55064,18.1675,0.0622,5.54481,22.582,0.277,0.948,-0.284,0.254444,0.126342,2.58,0.983,596.757,2.05371,1.0038,0.783,0.671,0.303488,0.260078,1.16692,2,0,0.776667,1.0,17.8,455550,1.0,18.3538,0.0992,270.6427565,21.6120451,-999.0,22.3606,21.2673,20.6955,0.917333,5.50923,1,190,2458290.7121528,2458290.7121528,43.7575340270996,0,133932706427085115,133932706455745806,15.2965,14.769,14.5703,14.4956,0.98625,7.52347,133932706443892600,-999.0,22.0276,20.8138,20.1681,0.943667,12.6975,17,587120151,2458204.002755,2458231.979201,18,,,,,,,,,,,,,,,,,,,2018-06-21T05:05:30.002,0.2411999999999992
366,ZTF18abclcsl,2458290.7340625,1,536234065115,20.3262,2,536234065115015004,t,4,536,51,587,1310.79,539.662,270.6377892,21.6318176,17.97,0.0625946,11.4544,18.01,0.0477,6.5331,21.877,0.17,1.248,-0.075,0.19684,0.039997,2.29,0.983,539.662,2.31617,1.10289,0.822,0.716,0.358952,0.312664,1.14804,0,0,0.786667,1.0,17.8,455550,1.0,17.9753,0.0584,270.6384708,21.6335422,21.5909,20.3255,19.3017,18.8195,0.975958,6.32614,1,192,2458290.7340625,2458290.7340625,45.513465881347706,0,133962706384730683,133962706335001190,21.4656,20.6039,20.216,20.0272,0.986208,16.0728,133952706328489449,22.3748,21.4793,20.8739,20.6067,0.888795,16.6133,14,587120151,2458204.002755,2458231.979201,18,,,,,,,,,,,,,,,,,,,2018-06-21T05:37:03.000,0.16999999999999815
388,ZTF18abcmtpi,2458290.8358448995,2,536335845115,20.5189,2,536335845115015001,t,1,536,51,587,1422.33,248.451,270.61087139999995,21.7168776,17.3978,0.0494499,34.1702,17.3838,0.0247,7.69218,20.19,0.034,0.513,0.052,-0.0881554,-0.013995,2.5,0.984,248.451,3.1351,0.98184,0.839,0.709,0.3356,0.2836,1.18336,7,0,0.663333,1.0,17.7,455550,0.949463,17.3386,0.0293,270.6097027,21.7150031,20.9163,20.2883,19.9605,19.7951,0.428452,7.96121,1,193,2458290.8358448995,2458290.8358448995,51.1555595397949,0,134052706096988538,134062706120544549,22.4625,21.8546,21.4836,21.0099,0.765982,11.7785,134052706100056765,-999.0,-999.0,20.6392,19.6935,0.888167,12.5275,9,587120251,2458186.9993060003,2458224.946296,15,,,,,,,,,,,,,,,,,,,2018-06-21T08:03:36.999,-0.30219999999999914
405,ZTF18abcnlut,2458290.874294,2,536374295115,20.6947,2,536374295115015002,t,2,536,51,587,1462.4,129.572,270.6006387,21.748859,17.3505,0.0465284,55.8108,17.3439,0.0209,8.18959,22.858,0.309,0.362,-0.26,-0.123075,-0.006624,2.42,0.998,129.572,3.35082,1.02487,0.765,0.679,0.316116,0.280579,1.12666,2,0,0.776667,1.0,17.7,455550,0.997441,17.3383,0.0254,270.5988392,21.7504396,18.2772,17.7994,17.587,17.5042,0.981875,13.4587,1,195,2458290.874294,2458290.874294,72.6559829711914,0,134092706013154770,134102706036982301,-999.0,21.832,21.0656,20.3781,0.592917,13.8143,134102706076281143,21.1596,20.6166,20.41,20.2044,0.765274,24.0561,7,587120251,2458186.9993060003,2458224.946296,15,,,,,,,,,,,,,,,,,,,2018-06-21T08:58:59.002,-0.34949999999999903
413,ZTF18abcoikg,2458290.9033102,1,536403315115,20.8655,2,536403315115015000,t,0,536,51,587,1492.22,45.2665,270.5929488,21.7729221,18.0036,0.0514868,8.91631,17.9101,0.0304,8.07259,14.702,0.01,0.424,-0.013,-1.82902,-0.093457,2.55,0.983,45.2665,2.95539,1.02038,0.858,0.748,0.336471,0.293333,1.14706,2,0,0.663333,1.0,17.7,455550,1.0,17.8643,0.0471,270.5921478,21.7707732,-999.0,18.2722,18.6779,-999.0,0.5,7.53102,1,192,2458290.9033102,2458290.9033102,50.02201080322271,0,134122705916245974,134122705921085451,14.6771,13.7301,13.366,13.0882,0.970417,8.28884,134132705926040818,18.0687,17.2112,16.8403,16.6569,0.98375,8.3407,15,587120151,2458204.002755,2458231.979201,18,,,,,,,,,,,,,,,,,,,2018-06-21T09:40:46.001,0.3035999999999994
431,ZTF18abclchp,2458290.7331481003,1,536233145115,20.272,1,536233145115015002,t,2,536,51,587,1310.14,541.856,270.63802979999997,21.6310455,17.9829,0.0719324,4.74468,17.9452,0.0459,8.99725,21.877,0.17,1.248,-0.075,0.43955,-0.037734,2.77,0.988,541.856,2.32681,0.940218,0.92,0.77,0.33213,0.277978,1.19481,0,0,0.703333,1.0,17.8,455550,1.0,17.9277,0.057,270.6384708,21.6335422,21.5909,20.3255,19.3017,18.8195,0.975958,8.79339,1,191,2458290.7331481003,2458290.7331481003,39.2456665039062,0,133962706384730683,133952706421734884,22.3047,21.773,21.2418,20.8036,0.00333333,16.4257,133952706431308613,-999.0,-999.0,21.9139,20.9902,0.657238,17.3322,15,587120151,2458204.002755,2458231.9792009997,18,,,,,,,,,,,,,,,,,,,2018-06-21T05:35:43.996,0.18290000000000006
455,ZTF18abcnkpi,2458290.8733912003,2,536373395115,20.6903,1,536373395115015002,t,2,536,51,587,1461.16,132.429,270.60088199999996,21.7480918,17.3768,0.0602733,39.0662,17.3875,0.0216,10.3426,17.764,0.015,0.502,-0.017,-0.0101367,0.010701,2.48,0.983,132.429,3.30277,1.00826,0.813,0.659,0.327823,0.265726,1.23369,5,0,0.593333,1.0,17.7,455550,0.967552,17.36,0.0257,270.6013377,21.745213800000002,18.2772,17.7994,17.587,17.5042,0.981875,10.6021,1,194,2458290.8733912003,2458290.8733912003,64.2391204833984,0,134092706013154770,134102706036982301,-999.0,21.832,21.0656,20.3781,0.592917,15.2942,134102706076281143,21.1596,20.6166,20.41,20.2044,0.765274,24.1027,6,587120251,2458186.9993060003,2458224.946296,15,,,,,,,,,,,,,,,,,,,2018-06-21T08:57:41.000,-0.32319999999999993
552,ZTF18abcpuwe,2458291.7921065,2,537292104815,20.2827,2,537292104815015003,t,3,537,48,587,2234.4,485.037,270.3814067,22.5143962,17.3335,0.0473197,20.2575,17.3158,0.0278,11.0274,17.894,0.019,0.896,-0.01,-0.0873272,-0.017734,2.79,0.984,485.037,2.96685,0.880706,0.809,0.696,0.289964,0.249462,1.16236,3,0,0.75,1.0,17.7,455550,0.998991,17.3171,0.0348,270.378216,22.5153707,-999.0,-999.0,21.5977,21.5011,0.64147,7.74791,1,203,2458291.7921065,2458291.7921065,54.13586044311521,0,135012703827805737,135012703782018994,18.4329,17.9278,17.7135,17.624,0.976917,11.113,135012703811562974,20.1626,18.8798,17.9082,17.4441,0.996667,14.6215,13,587120248,2458186.9993060003,2458222.911875,16,,,,,,,,,,,,,,,,,,,2018-06-22T07:00:38.002,-0.3664999999999985
557,ZTF18abcpvtc,2458291.7946065,2,537294604815,20.2427,2,537294604815015002,t,2,537,48,587,2234.28,481.639,270.3807395,22.5164864,17.3613,0.0594256,24.1765,17.3698,0.0294,9.1905,17.894,0.019,0.896,-0.01,-0.300889,0.008537,2.63,0.984,481.639,2.87292,0.96031,0.865,0.717,0.328897,0.272624,1.20642,1,0,0.77,1.0,17.7,455550,1.0,17.3052,0.0348,270.378216,22.5153707,18.4329,17.9278,17.7135,17.624,0.976917,9.30709,1,204,2458291.7946065,2458291.7946065,55.745697021484396,0,135012703782018994,135012703827805737,-999.0,-999.0,21.5977,21.5011,0.64147,15.3638,135012703772894208,-999.0,21.8492,21.7923,21.1999,0.0492917,21.5364,10,587120248,2458186.9993060003,2458222.911875,16,,,,,,,,,,,,,,,,,,,2018-06-22T07:04:14.002,-0.33869999999999933
577,ZTF18abcqert,2458291.8313773,2,537331374815,20.3359,2,537331374815015001,t,1,537,48,587,2278.62,369.115,270.3706463,22.5472138,17.3768,0.0510257,16.423,17.353,0.0273,10.3463,21.136,0.107,1.201,-0.047,0.482191,-0.023785,2.98,0.982,369.115,2.98291,0.83484,0.815,0.723,0.27349,0.242617,1.12725,2,0,0.81,1.0,17.7,455550,0.995877,17.3506,0.0339,270.3733204,22.5487488,-999.0,21.1844,20.6569,20.4337,0.814958,10.493,1,205,2458291.8313773,2458291.8313773,47.180015563964794,0,135052703733858987,135062703720261480,22.0678,21.5236,21.0482,20.8339,0.936875,13.4964,135052703737463111,-999.0,-999.0,21.4823,20.8952,0.613946,15.6809,15,587120248,2458186.9993060003,2458222.911875,16,,,,,,,,,,,,,,,,,,,2018-06-22T07:57:10.999,-0.32319999999999993
