,objectId,jd,fid,pid,diffmaglim,programid,candid,isdiffpos,tblid,nid,rcid,field,xpos,ypos,ra,decl,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,ssdistnr,ssmagnr,ssnamenr,sumrat,magapbig,sigmagapbig,ranr,decnr,sgmag1,srmag1,simag1,szmag1,sgscore1,distpsnr1,ndethist,ncovhist,jdstarthist,jdendhist,scorr,tooflag,objectidps1,objectidps2,sgmag2,srmag2,simag2,szmag2,sgscore2,distpsnr2,objectidps3,sgmag3,srmag3,simag3,szmag3,sgscore3,distpsnr3,nmtchps,rfid,jdstartref,jdendref,nframesref,rbversion,dsnrms,ssnrms,dsdiff,magzpsci,magzpsciunc,magzpscirms,nmatches,clrcoeff,clrcounc,zpclrcov,zpmed,clrmed,clrrms,neargaia,neargaiabright,maggaia,maggaiabright,exptime,drb,drbversion,obsdate,mjd,magcorrZTF,magOO,phaseangle,heliodist,geodist,velocity,magcorrOO
2532,ZTF18abcjlly,2458289.8950694,1,535395065115,20.0674,1,535395065115015002,t,2,535,51,488,98.0036,929.1160000000001,291.7648148,7.132805099999999,17.4267,0.061601199999999995,7.64155,17.4827,0.025,2.68413,21.635,0.102,0.28300000000000003,-0.096,-3.5117,0.055964,4.25,0.9840000000000001,98.0036,2.58472,0.934948,1.32,1.226,0.31058800000000003,0.288471,1.07667,0,0,0.673333,0.0,16.9,11395,1.0,17.433,0.0299,291.7650858,7.1335101,21.4974,20.3558,19.9425,19.6724,0.917833,2.6343799999999997,1,9,2458289.8950694,2458289.8950694,40.133472442627,0,116562917651120660,116562917644471694,20.3387,19.2001,18.6608,18.3418,0.853875,5.70685,116562917653541920,21.7309,20.7363,20.1473,19.8054,0.7102470000000001,6.43004,77,488120151,2458206.009873,2458278.879167,15,,,,,,,,,,,,,,,,,,,,,,2018-06-20T09:28:53.996,58289.39464115911,0.5267000000000017,17.389870170397717,7.126146392021953,4.93625266841887,4.08716650797258,0.12089458584665967,0.03682982960228287
4050,ZTF18abcohiy,2458290.8991088,1,536399105115,20.6572,1,536399105115015012,t,12,536,51,488,499.97,861.827,291.6529872,7.170673299999999,17.4459,0.0390866,12.4574,17.5235,0.0236,3.18335,20.477,0.055,0.787,-0.067,0.306664,0.077639,2.31,0.983,499.97,3.1337200000000003,1.1707100000000001,0.8170000000000001,0.7490000000000001,0.35368,0.32424200000000003,1.09079,1,0,0.813333,0.0,16.9,11395,1.0,17.5217,0.0291,291.65258680000005,7.1698708,20.2607,19.1733,18.6383,18.327,0.94675,3.3207699999999996,1,10,2458290.8991088,2458290.8991088,55.95870208740229,0,116602916525764295,116602916541165452,21.1208,20.0303,19.5263,19.3002,0.5,4.0343,116602916515285166,-999.0,21.6832,21.1995,21.0548,0.5,5.1637699999999995,104,488120151,2458206.009873,2458278.879167,15,,,,,,,,,,,,,,,,,,,,,,2018-06-21T09:34:43.000,58290.398680558894,0.5459000000000032,17.382134649128623,7.026391792317401,4.9359138615938845,4.08141147531278,0.12186675832295481,0.06376535087137825
7213,ZTF18abcudkv,2458292.9135069,1,538413505115,21.0591,1,538413505115015005,t,5,538,51,488,1312.88,607.922,291.4235201,7.240732799999999,17.4508,0.0406255,15.4931,17.5089,0.0184,1.52654,22.261,0.182,0.26,-0.1,0.8451190000000001,0.058115,2.11,0.983,607.922,3.55021,1.18984,0.794,0.715,0.376303,0.338863,1.11049,0,0,0.84,0.0,16.8,11395,1.0,17.476,0.0213,291.4234823999999,7.2403026,-999.0,21.9298,21.1813,20.8139,0.303208,1.62511,1,11,2458292.9135069,2458292.9135069,60.973697662353494,0,116682914239349620,116682914235858818,22.2081,20.6205,19.9182,19.4323,0.017125,1.6799400000000002,116692914227040069,19.69,18.9066,18.4902,18.2864,0.877208,3.5660800000000004,112,488120151,2458206.009873,2458278.879167,15,,,,,,,,,,,,,,,,,,,,,,2018-06-23T09:55:26.996,58292.41307865923,0.6508000000000003,17.36717522690984,6.832800975962741,4.935235964475462,4.070585434815665,0.12366645790895274,0.08362477309016114
8664,ZTF18abcwzah,2458293.9118171004,1,539411815115,19.9614,1,539411815115015000,t,0,539,51,488,1721.04,484.048,291.3074736,7.2725318,17.4066,0.0401041,4.37821,17.5164,0.0368,3.6243800000000004,20.131,0.055,0.992,-0.069,0.12175799999999999,0.109831,2.92,0.983,484.048,2.44501,0.998495,0.9,0.851,0.308219,0.29143800000000003,1.05758,0,0,0.87,0.0,16.8,11395,1.0,17.5533,0.048,291.3073017,7.273536999999998,-999.0,20.7751,20.2739,19.8427,0.5,0.38557600000000003,1,12,2458293.9118171004,2458293.9118171004,36.6713523864746,0,116722913075857594,116722913073288710,20.0032,19.0209,18.5031,18.1867,0.832083,3.5993800000000005,116722913062707838,17.1182,16.2771,15.8417,15.58,0.888875,4.3916,96,488120151,2458206.009873,2458278.879167,15,,,,,,,,,,,,,,,,,,,,,,2018-06-24T09:53:00.997,58293.41138885962,0.6066000000000003,17.360068138994293,6.74061815951838,4.934900923612237,4.0655791062256945,0.12453453069329652,0.0465318610057075
9595,ZTF18abczadr,2458294.8578935,1,540357895115,19.8083,1,540357895115015002,t,2,540,51,488,2106.12,421.26800000000003,291.1963012,7.3008209000000015,17.4501,0.07340310000000001,8.57885,17.5339,0.0501,3.14042,21.397,0.134,0.861,-0.195,-0.177751,0.08379299999999999,6.71,0.983,421.26800000000003,2.27438,0.380104,1.0859999999999999,0.9740000000000001,0.161848,0.145156,1.11499,3,0,0.54,0.0,16.8,11395,0.991973,17.4739,0.0597,291.1965078,7.3016823,20.7599,19.6886,-999.0,18.4977,0.127625,3.01895,1,13,2458294.8578935,2458294.8578935,15.6179800033569,0,116762911965482415,116762911972161067,15.9431,14.3149,13.262,12.786,0.5,3.4746,116752911961789427,20.9158,19.8479,19.2537,18.7756,0.643432,6.17638,99,488120151,2458206.009873,2458278.879167,15,,,,,,,,,,,,,,,,,,,,,,2018-06-25T08:35:21.998,58294.35746525928,0.6500999999999983,17.3535415485972,6.655933624337085,4.934583974385576,4.061055368569773,0.12542863423199166,0.0965584514027995
10569,ZTF18abdcnwd,2458295.860162,1,541360165115,19.8056,1,541360165115015002,t,2,541,51,488,2526.17,386.26,291.0769855,7.3289716,17.3142,0.061727199999999996,8.305019999999999,17.4289,0.0453,0.668766,18.668,0.024,0.787,0.003,1.0781100000000001,0.114749,1.98,0.983,386.26,2.3766700000000003,1.25005,0.77,0.6970000000000001,0.388889,0.35202,1.10473,3,0,0.856667,0.0,16.8,11395,0.9953270000000001,17.3919,0.0556,291.0769963,7.329160099999998,18.6234,17.7844,17.3831,17.1466,0.918708,0.550463,1,14,2458295.860162,2458295.860162,27.960182189941396,0,116792910769965457,116792910775145925,20.5795,19.2075,18.7193,18.4501,0.733089,2.58569,116792910768536892,-999.0,-999.0,21.9146,21.1969,0.5,4.94813,123,488120151,2458206.009873,2458278.879167,15,,,,,,,,,,,,,,,,,,,,,,2018-06-26T08:38:37.997,58295.359733758974,0.5141999999999989,17.34685701539688,6.569139717381872,4.9342487969763065,4.056500348806621,0.1262331790622255,-0.03265701539687882
16108,ZTF18abecsyv,2458303.9024074,1,549402404915,20.2635,1,549402404915015022,t,22,549,49,488,2978.14,2831.73,290.0785244,7.4813019,17.3849,0.0509111,15.9119,17.4065,0.0289,4.80871,22.006999999999998,0.15,0.679,-0.213,0.523416,0.021611000000000002,2.32,0.9840000000000001,94.3607,2.85702,1.11103,0.726,0.6559999999999999,0.312931,0.28275900000000004,1.10671,1,0,0.8,0.0,16.8,11395,1.0,17.3806,0.0354,290.0771645,7.4813987000000015,-999.0,22.1743,21.1776,20.3898,0.637417,4.66078,1,16,2458303.9024074,2458303.9024074,46.119476318359396,0,116972900788316525,116972900772038067,21.9663,19.6303,18.285,17.4431,0.833565,4.7634,116972900801277807,-999.0,21.741999999999997,20.6733,20.0187,0.8317559999999999,5.613119999999999,76,488120149,2458206.009873,2458277.874525,15,,,,,,,,,,,,,,,,,,,,,,2018-07-04T09:39:27.999,58303.40197915911,0.5848999999999975,17.30397781219791,6.016827317299366,4.931581663988229,4.028931952802344,0.13077387588864342,0.08092218780208782
20888,ZTF18abeqzdy,2458305.8331019,1,551333105215,20.4982,1,551333105215015009,t,9,551,52,488,311.278,2860.13,289.83113639999993,7.4982258,17.297,0.046847900000000005,12.2001,17.3457,0.0196,7.8635399999999995,22.808000000000003,0.20800000000000002,0.305,-0.013000000000000001,-0.31552600000000003,0.048683,2.9,0.983,220.373,3.15254,1.08651,0.9279999999999999,0.889,0.32,0.306552,1.04387,0,0,0.83,0.0,16.8,11395,1.0,17.3663,0.0243,289.8290577,7.4974181,23.485,22.0178,20.3092,19.3097,0.8035,4.11719,1,46,2458305.8331019,2458305.8331019,58.9146919250488,0,116992898320727483,116992898299078955,-999.0,-999.0,22.0609,21.0334,0.509699,4.85537,117002898319900293,23.319000000000003,20.9816,19.6124,18.7596,0.938625,6.47883,38,488120152,2458206.009873,2458276.89463,15,,,,,,,,,,,,,,,,,,,,,,2018-07-06T07:59:40.004,58305.33267365909,0.4969999999999999,17.29713637459244,5.931345591968389,4.9309473142179865,4.024731108976348,0.13164458505559873,-0.00013637459244009165
21309,ZTF18aberrpu,2458305.8761458,2,551376145215,20.0705,1,551376145215015022,t,22,551,52,488,343.0,2857.57,289.8254720000001,7.498504899999999,16.8369,0.0425818,35.2909,16.8755,0.0189,0.968907,21.383000000000003,0.11599999999999999,0.764,-0.10800000000000001,-0.711088,0.038610000000000005,3.08,0.996,222.928,3.19497,0.999978,1.015,0.9670000000000001,0.329545,0.313961,1.04964,0,0,0.8,0.0,16.8,11395,1.0,16.8439,0.0226,289.825239,7.498360099999998,-999.0,21.4126,20.1071,19.1685,0.765875,1.00863,1,47,2458305.8761458,2458305.8761458,67.8120956420898,0,116992898252838501,116992898265958906,21.2152,18.5711,16.9547,15.9816,0.960833,3.93195,117002898254310437,21.7655,19.1162,17.4275,16.41,0.970298,5.20096,43,488120252,2458199.004259,2458262.879178,15,,,,,,,,,,,,,,,,,,,,,,2018-07-06T09:01:38.997,58305.375717558905,0.03689999999999927,16.806807861574715,5.929662449896268,4.930933198062631,4.024649362029532,0.13155997365322553,0.030092138425285242
21817,ZTF18abeywgt,2458306.8351505003,1,552335155215,20.8168,1,552335155215015004,t,4,552,52,488,772.3889999999999,2846.91,289.7019092,7.503963099999999,17.7728,0.0968444,30.6484,17.8709,0.0232,6.0267,22.881999999999998,0.341,0.948,-0.387,-0.412962,0.098109,5.0,0.8909999999999999,233.59099999999998,2.9459299999999997,0.6357649999999999,1.5190000000000001,1.068,0.3038,0.2136,1.42228,0,0,0.44,0.0,16.8,11395,1.0,17.7925,0.0265,289.7031751,7.5051048,-999.0,22.4318,21.5855,20.8086,0.575125,4.73807,1,48,2458306.8351505003,2458306.8351505003,52.3138847351074,0,117002897013896571,117002897005615066,-999.0,22.2124,21.2484,20.2751,0.5,4.90911,117002897031536558,22.0401,20.9614,19.6785,18.9634,0.872375,5.8415,56,488120152,2458206.009873,2458276.89463,15,,,,,,,,,,,,,,,,,,,,,,2018-07-07T08:02:37.003,58306.33472225956,0.9727999999999994,17.294197196854384,5.895342682504186,4.930618993091738,4.022927352580415,0.13189596033091536,0.4786028031456162
