Time(days) Mag Mag_err TrueMag
5.003086 -0.027480 0.030000 -0.044916
5.037808 -0.204242 0.030000 -0.202918
8.005668 -0.223226 0.030000 -0.200683
8.039002 -0.047700 0.030000 -0.061992
11.981981 0.014490 0.030000 0.019413
12.010453 -0.189647 0.030000 -0.176898
14.942653 -0.002424 0.030000 -0.002784
14.970431 -0.017256 0.030000 -0.064826
17.919348 0.033509 0.030000 0.008497
17.953376 -0.171068 0.030000 -0.169963
20.901587 -0.000787 0.030000 0.018192
20.925892 -0.172748 0.030000 -0.171855
24.908212 -0.004129 0.030000 -0.002640
24.933212 -0.037668 0.030000 -0.036139
27.913743 -0.182197 0.030000 -0.127971
27.943604 -0.147105 0.030000 -0.202678
31.875594 0.039085 0.030000 0.011188
31.909622 -0.014760 0.030000 0.015896
34.932482 -0.239620 0.030000 -0.202294
34.961649 -0.039769 0.030000 -0.078958
37.860769 -0.000100 0.030000 0.017722
37.885769 -0.198249 0.030000 -0.176822
41.919250 -0.200384 0.030000 -0.196954
41.949111 -0.137191 0.030000 -0.130495
44.900827 -0.174760 0.030000 -0.203002
44.923743 -0.052561 0.030000 -0.110346
49.833041 0.078102 0.030000 0.085983
49.862207 0.175307 0.030000 0.157904
52.829430 0.225638 0.030000 0.186741
52.854430 0.039431 0.030000 0.016772
54.722833 -0.008802 0.01 -0.025909
54.724222 0.010695 0.01 0.004872
54.725611 0.034481 0.01 0.034704
54.727000 0.070108 0.01 0.061792
54.728389 0.099329 0.01 0.086230
54.729778 0.107972 0.01 0.108116
54.731167 0.128509 0.01 0.127545
54.732556 0.125552 0.01 0.144613
54.733944 0.159913 0.01 0.159417
54.735333 0.178907 0.01 0.172052
54.736722 0.165733 0.01 0.182616
54.738111 0.181404 0.01 0.191203
54.739500 0.203145 0.01 0.197911
54.740889 0.202853 0.01 0.202835
54.742278 0.201478 0.01 0.206072
54.743667 0.221674 0.01 0.207717
54.745056 0.208645 0.01 0.207867
54.746444 0.185603 0.01 0.206618
54.747833 0.210661 0.01 0.204067
54.749222 0.193170 0.01 0.200309
54.750611 0.192620 0.01 0.195440
54.752000 0.189103 0.01 0.189557
54.753389 0.175888 0.01 0.182756
